"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Aug-2016","EQ","2,550.00","2,550.00","2,500.85","2,544.15","2,514.70","2,511.30","2,520.29","2,770.00","2,115.00","16,15,834","4,07,23,74,254.55","99,253"
"30-Aug-2016","EQ","2,510.00","2,549.80","2,501.25","2,500.55","2,544.90","2,544.15","2,526.50","2,770.00","2,115.00","7,22,013","1,82,41,66,805.60","47,160"
"29-Aug-2016","EQ","2,534.95","2,534.95","2,466.75","2,524.95","2,508.00","2,500.55","2,489.50","2,770.00","2,115.00","7,44,364","1,85,30,92,003.05","63,254"
"26-Aug-2016","EQ","2,559.80","2,572.55","2,517.20","2,551.05","2,527.25","2,524.95","2,536.81","2,770.00","2,115.00","6,25,157","1,58,59,06,361.05","44,995"
"25-Aug-2016","EQ","2,580.00","2,589.70","2,526.00","2,572.05","2,550.35","2,551.05","2,549.92","2,770.00","2,115.00","9,69,845","2,47,30,28,891.15","56,688"
"24-Aug-2016","EQ","2,589.80","2,602.00","2,569.05","2,601.05","2,570.65","2,572.05","2,579.68","2,770.00","2,115.00","5,58,439","1,44,05,92,513.95","38,751"
"23-Aug-2016","EQ","2,544.95","2,604.95","2,540.20","2,548.70","2,600.40","2,601.05","2,593.41","2,770.00","2,115.00","7,51,687","1,94,94,28,824.75","46,115"
"22-Aug-2016","EQ","2,588.00","2,594.45","2,536.30","2,603.50","2,553.50","2,548.70","2,562.14","2,770.00","2,115.00","11,32,637","2,90,19,77,850.05","92,781"
"19-Aug-2016","EQ","2,640.00","2,646.45","2,600.00","2,638.55","2,602.60","2,603.50","2,610.69","2,770.00","2,115.00","12,08,122","3,15,40,28,235.45","59,756"
"18-Aug-2016","EQ","2,635.00","2,657.55","2,630.10","2,624.55","2,631.00","2,638.55","2,648.64","2,770.00","2,115.00","6,46,032","1,71,11,06,603.10","47,877"
"17-Aug-2016","EQ","2,699.00","2,699.00","2,618.00","2,691.70","2,628.00","2,624.55","2,641.55","2,770.00","2,115.00","9,24,283","2,44,15,37,139.85","68,405"
"16-Aug-2016","EQ","2,738.00","2,740.00","2,673.85","2,738.45","2,700.00","2,691.70","2,709.24","2,770.00","2,115.00","15,91,877","4,31,27,75,600.65","1,16,813"
"12-Aug-2016","EQ","2,705.00","2,744.80","2,702.05","2,709.90","2,740.00","2,738.45","2,732.86","2,770.00","2,115.00","11,63,679","3,18,01,76,255.45","85,247"
"11-Aug-2016","EQ","2,665.55","2,715.00","2,665.55","2,675.40","2,706.85","2,709.90","2,702.48","2,770.00","2,115.00","11,16,569","3,01,75,06,737.25","72,571"
"10-Aug-2016","EQ","2,651.00","2,682.00","2,648.00","2,650.20","2,676.00","2,675.40","2,671.88","2,770.00","2,115.00","10,31,039","2,75,48,07,946.10","61,590"
"09-Aug-2016","EQ","2,658.00","2,659.80","2,578.85","2,649.50","2,654.45","2,650.20","2,645.82","2,770.00","2,115.00","11,30,957","2,99,23,03,331.20","1,33,349"
"08-Aug-2016","EQ","2,640.00","2,668.00","2,629.05","2,649.10","2,655.00","2,649.50","2,651.83","2,770.00","2,115.00","10,29,122","2,72,90,60,314.25","65,630"
"05-Aug-2016","EQ","2,673.90","2,684.30","2,632.00","2,652.00","2,643.45","2,649.10","2,657.26","2,770.00","2,115.00","9,34,242","2,48,25,21,653.00","62,736"
"04-Aug-2016","EQ","2,670.00","2,682.95","2,636.25","2,656.30","2,658.00","2,652.00","2,656.13","2,770.00","2,115.00","7,07,708","1,87,97,61,561.65","47,274"
"03-Aug-2016","EQ","2,686.00","2,699.00","2,649.05","2,699.20","2,649.05","2,656.30","2,666.45","2,770.00","2,115.00","11,47,351","3,05,93,56,734.70","86,554"
"02-Aug-2016","EQ","2,702.90","2,715.70","2,689.80","2,708.25","2,703.80","2,699.20","2,702.65","2,770.00","2,115.00","12,89,081","3,48,39,35,382.20","1,01,312"
"01-Aug-2016","EQ","2,632.00","2,725.00","2,632.00","2,619.30","2,702.60","2,708.25","2,696.68","2,770.00","2,115.00","19,80,852","5,34,17,16,553.35","88,196"
"29-Jul-2016","EQ","2,614.00","2,634.90","2,599.00","2,619.25","2,624.90","2,619.30","2,618.80","2,770.00","2,115.00","12,44,042","3,25,79,01,003.85","79,709"
"28-Jul-2016","EQ","2,580.50","2,629.55","2,577.05","2,577.55","2,614.20","2,619.25","2,601.74","2,770.00","2,115.00","23,16,040","6,02,57,26,969.70","96,943"
"27-Jul-2016","EQ","2,555.00","2,580.40","2,545.00","2,552.60","2,578.00","2,577.55","2,570.12","2,770.00","2,115.00","8,75,255","2,24,95,14,103.75","72,548"
"26-Jul-2016","EQ","2,558.95","2,568.00","2,533.00","2,558.95","2,550.00","2,552.60","2,547.81","2,770.00","2,115.00","11,55,645","2,94,43,62,581.65","97,504"
"25-Jul-2016","EQ","2,512.00","2,563.20","2,505.80","2,515.10","2,555.00","2,558.95","2,539.84","2,770.00","2,115.00","8,44,398","2,14,46,38,636.50","84,598"
"22-Jul-2016","EQ","2,498.90","2,524.00","2,492.00","2,506.05","2,514.95","2,515.10","2,510.50","2,770.00","2,115.00","7,58,608","1,90,44,87,472.60","65,567"
"21-Jul-2016","EQ","2,489.50","2,519.50","2,464.45","2,494.95","2,506.00","2,506.05","2,492.08","2,770.00","2,115.00","12,63,574","3,14,89,24,110.40","91,340"
"20-Jul-2016","EQ","2,450.00","2,502.50","2,448.15","2,466.20","2,493.00","2,494.95","2,488.38","2,770.00","2,115.00","14,07,626","3,50,27,08,967.45","95,969"
"19-Jul-2016","EQ","2,427.50","2,472.80","2,427.50","2,433.45","2,466.00","2,466.20","2,452.39","2,770.00","2,115.00","11,81,448","2,89,73,73,190.60","77,753"
"18-Jul-2016","EQ","2,447.00","2,469.00","2,430.60","2,445.35","2,431.15","2,433.45","2,444.65","2,770.00","2,115.00","12,99,425","3,17,66,41,794.85","66,016"
"15-Jul-2016","EQ","2,517.00","2,527.80","2,426.55","2,521.90","2,445.00","2,445.35","2,464.20","2,770.00","2,115.00","41,68,183","10,27,12,19,349.75","1,56,804"
"14-Jul-2016","EQ","2,486.00","2,529.00","2,471.00","2,493.10","2,520.00","2,521.90","2,506.46","2,770.00","2,115.00","13,49,994","3,38,37,02,712.40","66,642"
"13-Jul-2016","EQ","2,478.00","2,499.25","2,451.25","2,464.95","2,485.00","2,493.10","2,485.60","2,770.00","2,115.00","10,51,150","2,61,27,35,736.35","45,710"
"12-Jul-2016","EQ","2,471.70","2,475.00","2,435.85","2,464.15","2,463.50","2,464.95","2,456.78","2,770.00","2,115.00","7,32,768","1,80,02,49,503.05","45,288"
"11-Jul-2016","EQ","2,430.00","2,471.80","2,427.00","2,426.60","2,469.00","2,464.15","2,455.17","2,770.00","2,115.00","7,71,816","1,89,49,40,180.80","55,531"
"08-Jul-2016","EQ","2,435.00","2,442.05","2,403.50","2,429.80","2,430.10","2,426.60","2,425.89","2,770.00","2,115.00","12,28,178","2,97,94,19,611.15","68,484"
"07-Jul-2016","EQ","2,487.70","2,491.85","2,425.00","2,485.30","2,428.00","2,429.80","2,452.12","2,770.00","2,115.00","16,58,400","4,06,65,88,669.55","99,668"
"05-Jul-2016","EQ","2,494.20","2,497.05","2,477.15","2,494.20","2,480.20","2,485.30","2,485.94","2,770.00","2,115.00","7,79,874","1,93,87,17,442.15","41,404"
"04-Jul-2016","EQ","2,516.00","2,525.85","2,482.00","2,500.85","2,485.35","2,494.20","2,507.92","2,770.00","2,115.00","9,41,742","2,36,18,12,587.55","50,480"
"01-Jul-2016","EQ","2,562.00","2,564.60","2,494.35","2,553.10","2,498.75","2,500.85","2,526.66","2,770.00","2,115.00","10,98,648","2,77,59,10,959.00","55,236"
"30-Jun-2016","EQ","2,522.00","2,562.90","2,500.35","2,502.90","2,548.05","2,553.10","2,532.82","2,770.00","2,115.00","25,60,906","6,48,63,14,138.05","1,03,449"
"29-Jun-2016","EQ","2,475.00","2,512.50","2,465.30","2,463.95","2,500.00","2,502.90","2,489.12","2,770.00","2,115.00","12,65,632","3,15,03,11,553.80","64,129"
"28-Jun-2016","EQ","2,495.85","2,502.90","2,458.40","2,495.85","2,464.00","2,463.95","2,479.12","2,770.00","2,115.00","22,49,762","5,57,74,24,971.25","1,14,662"
"27-Jun-2016","EQ","2,547.00","2,547.00","2,482.65","2,573.95","2,496.70","2,495.85","2,499.20","2,770.00","2,115.00","21,36,283","5,33,89,93,014.80","1,38,232"
"24-Jun-2016","EQ","2,565.15","2,593.20","2,514.15","2,645.35","2,568.00","2,573.95","2,559.15","2,770.00","2,115.00","18,83,293","4,81,96,31,293.95","62,715"
"23-Jun-2016","EQ","2,655.00","2,659.50","2,625.30","2,667.65","2,644.45","2,645.35","2,642.78","2,770.00","2,115.00","6,98,507","1,84,60,02,543.75","54,736"
"22-Jun-2016","EQ","2,650.00","2,677.70","2,631.75","2,651.20","2,661.05","2,667.65","2,660.15","2,770.00","2,115.00","8,80,856","2,34,32,05,233.40","44,125"
"21-Jun-2016","EQ","2,663.50","2,665.00","2,641.40","2,659.30","2,646.00","2,651.20","2,650.08","2,770.00","2,115.00","5,13,845","1,36,17,28,432.60","28,193"
"20-Jun-2016","EQ","2,602.60","2,668.00","2,591.80","2,602.60","2,657.00","2,659.30","2,647.08","2,770.00","2,115.00","9,36,419","2,47,87,79,488.85","50,886"
"17-Jun-2016","EQ","2,559.00","2,610.00","2,559.00","2,558.30","2,600.00","2,602.60","2,590.05","2,770.00","2,115.00","9,39,494","2,43,33,36,684.35","46,942"
"16-Jun-2016","EQ","2,545.55","2,564.70","2,516.45","2,556.85","2,557.00","2,558.30","2,539.78","2,770.00","2,115.00","5,72,535","1,45,41,13,954.05","59,808"
"15-Jun-2016","EQ","2,530.00","2,564.90","2,522.00","2,534.85","2,558.50","2,556.85","2,540.82","2,770.00","2,115.00","6,35,422","1,61,44,92,174.20","52,990"
"14-Jun-2016","EQ","2,558.95","2,558.95","2,518.25","2,547.00","2,540.00","2,534.85","2,531.47","2,770.00","2,115.00","4,88,785","1,23,73,44,284.00","55,026"
"13-Jun-2016","EQ","2,540.00","2,553.35","2,518.00","2,555.75","2,545.25","2,547.00","2,538.25","2,770.00","2,115.00","5,14,989","1,30,71,70,875.45","32,894"
"10-Jun-2016","EQ","2,566.00","2,603.25","2,553.20","2,577.25","2,554.00","2,555.75","2,571.67","2,770.00","2,115.00","6,98,416","1,79,60,98,182.05","46,466"
"09-Jun-2016","EQ","2,622.40","2,622.40","2,555.20","2,613.10","2,581.90","2,577.25","2,581.13","2,770.00","2,115.00","7,81,069","2,01,60,42,632.05","51,060"
"08-Jun-2016","EQ","2,617.25","2,628.55","2,605.50","2,631.15","2,615.00","2,613.10","2,615.77","2,770.00","2,115.00","4,69,133","1,22,71,42,241.65","26,407"
"07-Jun-2016","EQ","2,614.00","2,639.00","2,613.00","2,612.50","2,631.60","2,631.15","2,628.62","2,770.00","2,115.00","6,01,097","1,58,00,55,394.90","43,777"
"06-Jun-2016","EQ","2,620.50","2,639.00","2,603.20","2,629.55","2,610.00","2,612.50","2,618.59","2,770.00","2,115.00","6,61,013","1,73,09,19,629.55","35,241"
"03-Jun-2016","EQ","2,651.40","2,658.00","2,620.50","2,650.15","2,628.00","2,629.55","2,631.87","2,770.00","2,115.00","7,77,461","2,04,61,78,881.75","59,436"
"02-Jun-2016","EQ","2,600.00","2,654.30","2,600.00","2,633.55","2,654.00","2,650.15","2,635.94","2,770.00","2,115.00","7,04,378","1,85,66,99,431.40","57,624"
"01-Jun-2016","EQ","2,571.20","2,645.00","2,571.00","2,569.40","2,633.90","2,633.55","2,625.05","2,770.00","2,115.00","9,55,971","2,50,94,70,849.20","67,647"
"31-May-2016","EQ","2,640.00","2,647.00","2,562.00","2,636.40","2,567.50","2,569.40","2,581.37","2,770.00","2,115.00","18,61,304","4,80,47,09,389.70","84,299"
