"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Aug-2010","EQ","840.00","847.70","830.20","845.65","843.70","843.75","838.25","885.00","519.10","12,23,937","1,02,59,69,001.70","-"
"30-Aug-2010","EQ","862.80","862.80","840.10","856.05","845.00","845.65","845.24","885.00","519.10","7,79,285","65,86,86,619.15","-"
"27-Aug-2010","EQ","872.10","873.00","851.00","876.50","853.00","856.05","863.16","885.00","513.55","6,38,257","55,09,17,751.10","-"
"26-Aug-2010","EQ","874.00","879.00","860.25","871.20","874.30","876.50","872.43","885.00","513.55","21,02,214","1,83,40,42,692.10","-"
"25-Aug-2010","EQ","872.00","881.50","866.30","870.70","871.50","871.20","874.27","885.00","513.55","11,89,984","1,04,03,63,967.15","-"
"24-Aug-2010","EQ","870.00","881.90","865.00","870.40","869.20","870.70","875.81","885.00","513.55","13,25,237","1,16,06,59,606.85","-"
"23-Aug-2010","EQ","860.00","875.45","857.05","868.95","869.00","870.40","871.37","885.00","513.55","5,24,915","45,73,92,915.90","-"
"20-Aug-2010","EQ","869.00","879.90","863.00","872.05","865.55","868.95","871.75","885.00","494.00","8,73,198","76,12,10,155.50","-"
"19-Aug-2010","EQ","874.00","880.90","867.30","871.10","870.40","872.05","875.04","885.00","494.00","10,74,267","94,00,21,322.95","-"
"18-Aug-2010","EQ","853.00","875.80","850.00","850.20","874.20","871.10","861.97","885.00","494.00","14,44,458","1,24,50,79,370.70","-"
"17-Aug-2010","EQ","850.10","861.00","844.00","854.10","850.00","850.20","851.86","885.00","494.00","8,66,598","73,82,23,189.35","-"
"16-Aug-2010","EQ","857.00","862.55","848.80","854.40","854.00","854.10","855.63","885.00","494.00","6,59,549","56,43,30,556.75","-"
"13-Aug-2010","EQ","857.00","862.90","838.00","853.45","854.85","854.40","856.85","885.00","494.00","12,94,953","1,10,95,76,941.40","-"
"12-Aug-2010","EQ","856.90","856.90","846.20","858.15","852.50","853.45","851.55","885.00","494.00","11,39,046","96,99,53,122.85","-"
"11-Aug-2010","EQ","862.00","873.00","854.80","864.50","858.35","858.15","860.58","885.00","494.00","20,10,124","1,72,98,82,425.30","-"
