"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Sep-2023","EQ","3,420.00","3,447.00","3,405.15","3,418.50","3,425.65","3,429.35","3,430.40","3,575.00","2,926.10","15,01,842","5,15,19,24,571.65","1,00,120"
"04-Sep-2023","EQ","3,378.00","3,432.85","3,370.05","3,379.20","3,418.50","3,418.50","3,405.13","3,575.00","2,926.10","18,28,332","6,22,57,11,646.35","1,14,654"
"01-Sep-2023","EQ","3,366.00","3,389.00","3,356.80","3,356.80","3,374.00","3,379.20","3,379.92","3,575.00","2,926.10","12,77,950","4,31,93,72,822.65","1,48,744"
"31-Aug-2023","EQ","3,401.00","3,417.40","3,343.65","3,390.95","3,361.00","3,356.80","3,369.12","3,575.00","2,926.10","34,17,652","11,51,44,68,309.55","1,25,169"
"30-Aug-2023","EQ","3,398.00","3,408.10","3,383.05","3,376.15","3,391.00","3,390.95","3,397.70","3,575.00","2,926.10","11,88,200","4,03,71,49,090.80","83,244"
"29-Aug-2023","EQ","3,381.05","3,389.55","3,365.00","3,375.55","3,375.00","3,376.15","3,375.62","3,575.00","2,926.10","9,44,517","3,18,83,33,020.15","68,937"
"28-Aug-2023","EQ","3,394.00","3,394.00","3,360.10","3,381.30","3,373.00","3,375.55","3,374.18","3,575.00","2,926.10","10,37,485","3,50,06,63,941.25","80,009"
"25-Aug-2023","EQ","3,375.00","3,385.80","3,350.25","3,387.75","3,374.00","3,381.30","3,371.84","3,575.00","2,926.10","11,58,046","3,90,47,44,950.05","87,415"
"24-Aug-2023","EQ","3,408.00","3,413.05","3,378.10","3,398.25","3,391.00","3,387.75","3,392.89","3,575.00","2,926.10","11,52,881","3,91,16,01,781.55","83,377"
"23-Aug-2023","EQ","3,388.00","3,402.00","3,376.00","3,382.15","3,389.20","3,398.25","3,392.66","3,575.00","2,926.10","13,30,046","4,51,23,93,621.55","74,093"
"22-Aug-2023","EQ","3,400.00","3,411.00","3,365.05","3,401.65","3,383.10","3,382.15","3,379.46","3,575.00","2,926.10","12,22,012","4,12,97,42,131.95","1,05,529"
"21-Aug-2023","EQ","3,375.00","3,409.75","3,372.00","3,367.10","3,400.05","3,401.65","3,396.90","3,575.00","2,926.10","13,75,579","4,67,27,10,451.45","90,178"
"18-Aug-2023","EQ","3,410.00","3,410.00","3,356.50","3,435.75","3,368.00","3,367.10","3,373.82","3,575.00","2,926.10","25,26,749","8,52,47,93,143.10","1,50,157"
"17-Aug-2023","EQ","3,455.00","3,460.80","3,413.20","3,458.40","3,425.90","3,435.75","3,435.28","3,575.00","2,926.10","18,43,241","6,33,20,40,272.50","1,22,489"
"16-Aug-2023","EQ","3,450.00","3,466.00","3,435.20","3,449.85","3,450.70","3,458.40","3,453.07","3,575.00","2,926.10","13,28,445","4,58,72,15,413.45","1,02,457"
"14-Aug-2023","EQ","3,440.70","3,455.00","3,411.00","3,448.80","3,448.00","3,449.85","3,434.19","3,575.00","2,926.10","11,90,425","4,08,81,41,282.40","1,45,261"
"11-Aug-2023","EQ","3,438.10","3,466.65","3,414.00","3,442.10","3,444.50","3,448.80","3,444.54","3,575.00","2,926.10","16,79,974","5,78,67,38,907.20","1,42,622"
"10-Aug-2023","EQ","3,450.00","3,464.90","3,430.05","3,462.50","3,448.25","3,442.10","3,442.07","3,575.00","2,926.10","10,96,701","3,77,49,18,908.55","76,539"
