"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Aug-2014","EQ","2,547.00","2,549.30","2,513.00","2,549.95","2,516.70","2,522.35","2,528.60","2,614.35","1,814.00","8,83,144","2,23,31,22,263.70","40,308"
"27-Aug-2014","EQ","2,534.00","2,567.40","2,514.05","2,533.80","2,547.90","2,549.95","2,552.51","2,614.35","1,814.00","7,17,730","1,83,20,13,110.60","46,881"
"26-Aug-2014","EQ","2,529.00","2,550.00","2,500.00","2,522.05","2,528.45","2,533.80","2,534.69","2,614.35","1,814.00","9,07,745","2,30,08,51,787.90","49,485"
"25-Aug-2014","EQ","2,470.00","2,528.50","2,466.90","2,464.20","2,521.70","2,522.05","2,511.52","2,614.35","1,814.00","15,71,756","3,94,74,95,581.85","50,860"
"22-Aug-2014","EQ","2,444.00","2,468.20","2,435.80","2,432.45","2,462.00","2,464.20","2,455.23","2,614.35","1,695.20","15,48,119","3,80,09,85,729.30","83,872"
"21-Aug-2014","EQ","2,447.00","2,460.00","2,430.00","2,436.20","2,432.50","2,432.45","2,440.14","2,614.35","1,695.20","11,32,725","2,76,40,09,129.50","64,360"
"20-Aug-2014","EQ","2,444.50","2,455.05","2,430.05","2,438.50","2,438.85","2,436.20","2,439.66","2,614.35","1,695.20","10,28,379","2,50,88,95,255.85","39,277"
"19-Aug-2014","EQ","2,500.00","2,504.90","2,435.00","2,487.60","2,438.00","2,438.50","2,446.29","2,614.35","1,695.20","16,17,078","3,95,58,43,991.90","98,599"
"18-Aug-2014","EQ","2,491.05","2,505.00","2,470.00","2,499.75","2,481.00","2,487.60","2,485.67","2,614.35","1,695.20","6,86,630","1,70,67,32,411.90","73,851"
"14-Aug-2014","EQ","2,514.00","2,532.00","2,490.05","2,500.05","2,496.00","2,499.75","2,510.16","2,614.35","1,695.20","7,89,028","1,98,05,86,975.00","59,273"
"13-Aug-2014","EQ","2,470.00","2,530.00","2,470.00","2,471.75","2,500.00","2,500.05","2,501.07","2,614.35","1,695.20","13,84,189","3,46,19,56,740.95","69,764"
