"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Aug-2004","EQ","982.40","982.40","958.55","979.00","961.20","962.65","969.94","1,198.70","975.30","38,30,750","3,71,55,86,030.80","-"
"26-Aug-2004","EQ","992.00","997.00","975.30","987.95","976.85","979.00","985.65","1,198.70","979.00","50,55,400","4,98,28,64,767.30","-"
"25-Aug-2004","EQ","1,198.70","1,198.70","979.00","850.00","985.00","987.95","1,008.32","-","-","1,71,16,372","17,25,87,60,957.45","-"
