"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Aug-2011","EQ","1,030.00","1,050.30","1,024.15","1,019.60","1,045.00","1,042.40","1,037.41","1,246.95","830.20","29,83,341","3,09,49,38,328.45","78,911"
"29-Aug-2011","EQ","964.10","1,024.00","964.10","948.45","1,018.20","1,019.60","1,004.57","1,246.95","830.20","27,95,222","2,80,79,89,799.45","77,149"
"26-Aug-2011","EQ","951.10","969.50","940.00","950.40","950.00","948.45","955.81","1,246.95","830.20","17,92,455","1,71,32,39,653.90","69,655"
"25-Aug-2011","EQ","969.70","973.00","938.00","962.60","957.40","950.40","952.85","1,246.95","830.20","22,22,744","2,11,79,52,682.60","66,580"
"24-Aug-2011","EQ","978.00","978.00","955.00","981.60","966.00","962.60","964.11","1,246.95","830.20","15,97,395","1,54,00,71,840.20","50,180"
"23-Aug-2011","EQ","920.85","988.00","920.35","918.05","983.05","981.60","963.72","1,246.95","830.20","24,37,335","2,34,89,05,691.20","74,378"
"22-Aug-2011","EQ","929.00","930.00","902.00","928.95","916.50","918.05","917.32","1,246.95","830.20","17,64,461","1,61,85,68,365.35","53,747"
"19-Aug-2011","EQ","943.00","946.95","905.00","962.35","936.00","928.95","923.94","1,246.95","830.20","27,21,807","2,51,47,94,953.20","85,065"
"18-Aug-2011","EQ","1,005.90","1,009.30","958.00","999.90","965.00","962.35","970.60","1,246.95","830.20","18,09,948","1,75,67,28,414.40","47,801"
"17-Aug-2011","EQ","974.50","1,009.40","970.00","973.60","1,000.00","999.90","996.34","1,246.95","830.20","22,78,946","2,27,06,14,698.20","74,899"
"16-Aug-2011","EQ","967.00","978.35","956.05","947.15","977.00","973.60","968.49","1,246.95","830.20","14,91,784","1,44,47,78,098.95","43,972"
"12-Aug-2011","EQ","990.55","991.90","937.50","978.35","946.00","947.15","953.57","1,246.95","830.20","20,84,542","1,98,77,59,491.45","64,295"
"11-Aug-2011","EQ","980.00","983.40","963.00","984.05","979.00","978.35","975.53","1,246.95","830.20","14,50,232","1,41,47,39,950.25","43,366"
"10-Aug-2011","EQ","999.00","1,012.00","973.80","964.80","984.95","984.05","992.98","1,246.95","830.20","29,74,540","2,95,36,49,631.75","70,100"
"09-Aug-2011","EQ","965.00","985.20","947.70","1,005.35","963.60","964.80","965.10","1,246.95","830.20","40,79,635","3,93,72,54,511.60","1,15,137"
"08-Aug-2011","EQ","1,011.20","1,033.35","996.60","1,057.95","1,007.05","1,005.35","1,007.18","1,246.95","830.20","32,74,653","3,29,81,71,242.25","88,735"
"05-Aug-2011","EQ","1,073.15","1,074.00","1,028.00","1,095.85","1,058.90","1,057.95","1,048.68","1,246.95","828.55","26,34,694","2,76,29,42,479.45","95,541"
"04-Aug-2011","EQ","1,110.05","1,119.50","1,091.10","1,110.35","1,097.10","1,095.85","1,107.90","1,246.95","828.55","15,24,647","1,68,91,63,701.20","31,524"
"03-Aug-2011","EQ","1,120.00","1,125.70","1,095.35","1,130.65","1,115.00","1,110.35","1,111.99","1,246.95","828.55","15,32,123","1,70,37,12,430.95","47,849"
"02-Aug-2011","EQ","1,130.50","1,134.00","1,122.25","1,135.25","1,130.00","1,130.65","1,129.35","1,246.95","828.55","10,12,646","1,14,36,36,294.40","28,665"
"01-Aug-2011","EQ","1,142.40","1,149.90","1,125.10","1,137.00","1,134.00","1,135.25","1,135.54","1,246.95","828.55","9,91,173","1,12,55,19,548.35","41,634"
"29-Jul-2011","EQ","1,133.00","1,142.00","1,121.65","1,129.55","1,138.45","1,137.00","1,135.28","1,246.95","828.55","8,59,569","97,58,49,040.50","31,301"
"28-Jul-2011","EQ","1,140.00","1,144.90","1,120.30","1,147.15","1,134.35","1,129.55","1,131.73","1,246.95","828.55","20,46,907","2,31,65,41,981.80","40,432"
"27-Jul-2011","EQ","1,148.95","1,154.65","1,138.15","1,144.65","1,145.50","1,147.15","1,148.07","1,246.95","828.55","10,12,145","1,16,20,13,628.30","44,674"
"26-Jul-2011","EQ","1,139.80","1,151.95","1,127.25","1,139.90","1,143.00","1,144.65","1,140.45","1,246.95","828.55","19,84,361","2,26,30,66,410.95","52,350"
"25-Jul-2011","EQ","1,135.00","1,144.00","1,123.15","1,133.40","1,136.65","1,139.90","1,131.36","1,246.95","828.55","23,70,357","2,68,17,26,399.45","41,385"
"22-Jul-2011","EQ","1,126.75","1,141.30","1,126.50","1,122.55","1,131.60","1,133.40","1,134.51","1,246.95","823.25","10,45,221","1,18,58,12,399.85","30,780"
"21-Jul-2011","EQ","1,132.00","1,132.50","1,120.05","1,132.45","1,124.00","1,122.55","1,124.75","1,246.95","823.25","9,25,312","1,04,07,45,597.05","33,166"
"20-Jul-2011","EQ","1,150.00","1,151.80","1,125.00","1,140.05","1,132.95","1,132.45","1,133.24","1,246.95","823.25","14,03,873","1,59,09,18,673.15","46,558"
"19-Jul-2011","EQ","1,121.60","1,148.15","1,120.25","1,125.05","1,139.95","1,140.05","1,137.75","1,246.95","823.25","10,97,646","1,24,88,41,269.20","38,329"
"18-Jul-2011","EQ","1,148.00","1,152.00","1,122.30","1,146.05","1,123.00","1,125.05","1,129.94","1,246.95","823.25","15,62,604","1,76,56,50,128.00","67,052"
"15-Jul-2011","EQ","1,168.00","1,177.90","1,141.10","1,123.70","1,146.60","1,146.05","1,154.54","1,246.95","765.25","36,39,850","4,20,23,37,630.95","78,431"
"14-Jul-2011","EQ","1,150.00","1,158.60","1,119.10","1,149.05","1,119.20","1,123.70","1,137.42","1,246.95","765.25","34,68,922","3,94,56,13,635.85","83,431"
"13-Jul-2011","EQ","1,150.00","1,168.00","1,131.00","1,145.35","1,153.00","1,149.05","1,149.57","1,246.95","765.25","19,76,300","2,27,19,02,517.85","74,511"
"12-Jul-2011","EQ","1,135.70","1,148.80","1,112.10","1,156.65","1,143.00","1,145.35","1,139.04","1,246.95","765.25","20,39,702","2,32,33,10,180.95","43,525"
"11-Jul-2011","EQ","1,170.00","1,177.80","1,146.60","1,171.65","1,158.00","1,156.65","1,159.26","1,246.95","765.25","9,11,252","1,05,63,73,453.10","32,350"
"08-Jul-2011","EQ","1,196.00","1,205.00","1,169.25","1,195.90","1,172.75","1,171.65","1,184.88","1,246.95","1,055.90","17,06,030","2,02,14,43,839.90","37,915"
"07-Jul-2011","EQ","1,183.10","1,200.00","1,183.10","1,182.80","1,194.00","1,195.90","1,191.22","1,246.95","1,048.40","13,01,317","1,55,01,54,495.05","31,664"
"06-Jul-2011","EQ","1,178.25","1,192.90","1,171.70","1,179.45","1,181.90","1,182.80","1,182.15","1,246.95","1,048.40","7,45,089","88,08,05,240.35","41,424"
"05-Jul-2011","EQ","1,189.80","1,191.00","1,173.40","1,185.70","1,180.10","1,179.45","1,181.42","1,246.95","1,048.40","10,30,568","1,21,75,34,139.90","30,672"
