"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Sep-2018","EQ","2,059.80","2,104.75","2,056.95","2,052.90","2,100.00","2,098.90","2,093.77","3,674.80","1,711.15","44,20,803","9,25,61,52,898.55","2,72,369"
"03-Sep-2018","EQ","2,084.80","2,090.00","2,048.40","2,078.40","2,050.30","2,052.90","2,072.50","3,674.80","1,711.15","14,39,711","2,98,38,03,308.90","66,713"
"31-Aug-2018","EQ","2,082.30","2,092.00","2,074.00","2,082.40","2,078.00","2,078.40","2,082.10","3,674.80","1,711.15","25,04,554","5,21,47,22,720.85","1,37,612"
"30-Aug-2018","EQ","2,068.00","2,085.00","2,065.50","2,072.00","2,081.25","2,082.40","2,078.06","3,674.80","1,711.15","24,08,020","5,00,39,99,131.15","1,25,517"
"29-Aug-2018","EQ","2,072.50","2,076.60","2,045.60","2,069.20","2,073.25","2,072.00","2,065.10","3,674.80","1,711.15","15,25,867","3,15,10,66,991.15","88,327"
"28-Aug-2018","EQ","2,055.00","2,072.00","2,052.00","2,050.90","2,069.95","2,069.20","2,065.50","3,674.80","1,711.15","19,87,983","4,10,61,75,143.60","1,08,533"
"27-Aug-2018","EQ","2,043.00","2,059.00","2,035.00","2,043.00","2,050.05","2,050.90","2,051.79","3,674.80","1,711.15","15,32,702","3,14,47,88,538.70","95,164"
"24-Aug-2018","EQ","2,035.10","2,046.00","2,031.00","2,035.10","2,041.60","2,043.00","2,041.86","3,674.80","1,711.15","15,70,533","3,20,68,01,587.60","89,779"
"23-Aug-2018","EQ","2,022.80","2,038.00","2,020.30","2,017.65","2,033.90","2,035.10","2,030.81","3,674.80","1,711.15","30,46,791","6,18,74,60,520.70","1,47,069"
"21-Aug-2018","EQ","2,010.15","2,024.00","2,004.00","2,009.95","2,014.00","2,017.65","2,015.38","3,674.80","1,711.15","13,76,866","2,77,49,03,727.95","67,624"
"20-Aug-2018","EQ","2,024.00","2,024.00","2,003.70","2,012.75","2,014.15","2,009.95","2,011.43","3,674.80","1,711.15","15,87,032","3,19,21,97,146.60","1,25,610"
"17-Aug-2018","EQ","2,013.85","2,021.90","2,004.00","2,008.50","2,010.00","2,012.75","2,012.85","3,674.80","1,711.15","12,13,731","2,44,30,58,585.35","1,14,738"
"16-Aug-2018","EQ","2,000.30","2,020.05","1,995.00","2,003.55","2,009.10","2,008.50","2,008.49","3,674.80","1,711.15","21,52,065","4,32,24,07,891.55","1,53,660"
"14-Aug-2018","EQ","1,992.00","2,024.60","1,982.40","2,000.15","2,000.00","2,003.55","2,010.34","3,674.80","1,711.15","33,11,765","6,65,77,70,585.30","1,20,349"
"13-Aug-2018","EQ","1,997.80","2,004.25","1,990.00","1,993.10","1,999.50","2,000.15","1,998.04","3,674.80","1,711.15","35,59,575","7,11,21,84,424.50","1,76,860"
"10-Aug-2018","EQ","1,980.95","1,996.50","1,972.05","1,974.35","1,992.00","1,993.10","1,985.67","3,674.80","1,711.15","27,84,105","5,52,83,17,088.35","1,05,306"
"09-Aug-2018","EQ","1,980.00","1,980.80","1,966.00","1,974.00","1,978.00","1,974.35","1,974.51","3,674.80","1,711.15","20,60,297","4,06,80,73,026.60","88,956"
"08-Aug-2018","EQ","1,972.00","1,978.30","1,962.00","1,967.35","1,975.00","1,974.00","1,969.57","3,674.80","1,711.15","13,15,062","2,59,01,00,268.35","78,555"
"07-Aug-2018","EQ","1,978.20","1,979.15","1,960.50","1,975.55","1,969.00","1,967.35","1,967.34","3,674.80","1,711.15","13,53,560","2,66,29,08,261.65","95,485"
