"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Sep-2021","EQ","3,825.00","3,856.90","3,804.55","3,836.75","3,835.00","3,842.05","3,830.31","3,859.15","2,228.00","17,46,812","6,69,08,25,623.35","1,10,739"
"02-Sep-2021","EQ","3,734.00","3,859.15","3,722.00","3,714.95","3,827.90","3,836.75","3,798.12","3,859.15","2,228.00","34,03,717","12,92,77,23,346.45","1,47,951"
"01-Sep-2021","EQ","3,796.00","3,816.70","3,707.00","3,786.45","3,715.00","3,714.95","3,742.07","3,816.70","2,228.00","26,43,336","9,89,15,48,398.70","1,59,880"
"31-Aug-2021","EQ","3,709.40","3,804.10","3,703.45","3,701.30","3,797.90","3,786.45","3,763.43","3,804.10","2,228.00","32,07,480","12,07,11,11,288.25","1,18,247"
"30-Aug-2021","EQ","3,715.00","3,740.35","3,687.60","3,720.15","3,709.00","3,701.30","3,717.61","3,740.35","2,228.00","20,33,114","7,55,83,26,821.90","1,20,886"
"27-Aug-2021","EQ","3,666.00","3,729.50","3,651.10","3,671.85","3,715.00","3,720.15","3,704.47","3,729.50","2,216.45","39,44,728","14,61,31,15,000.85","1,46,958"
"26-Aug-2021","EQ","3,660.00","3,687.60","3,647.90","3,659.00","3,655.00","3,671.85","3,666.49","3,697.75","2,216.45","19,02,533","6,97,56,27,265.60","1,11,272"
"25-Aug-2021","EQ","3,610.00","3,697.75","3,607.05","3,613.20","3,665.00","3,659.00","3,667.15","3,697.75","2,216.45","21,23,263","7,78,63,17,794.00","1,32,939"
"24-Aug-2021","EQ","3,657.00","3,667.35","3,594.40","3,637.40","3,615.05","3,613.20","3,626.54","3,673.00","2,216.45","25,11,141","9,10,67,41,534.10","1,40,873"
"23-Aug-2021","EQ","3,580.00","3,673.00","3,561.90","3,559.50","3,635.00","3,637.40","3,636.99","3,673.00","2,216.45","37,44,176","13,61,75,18,913.15","1,82,578"
"20-Aug-2021","EQ","3,506.00","3,575.00","3,500.00","3,560.55","3,551.60","3,559.50","3,553.61","3,595.00","2,216.45","28,36,148","10,07,85,73,269.05","1,46,932"
"18-Aug-2021","EQ","3,573.85","3,595.00","3,536.60","3,553.05","3,559.80","3,560.55","3,564.21","3,595.00","2,216.45","26,31,309","9,37,85,50,368.20","1,90,233"
"17-Aug-2021","EQ","3,482.10","3,560.80","3,463.00","3,472.95","3,548.00","3,553.05","3,523.43","3,560.80","2,216.45","43,36,019","15,27,76,48,941.65","1,89,016"
"16-Aug-2021","EQ","3,460.00","3,494.35","3,436.50","3,463.40","3,464.75","3,472.95","3,470.40","3,494.35","2,216.45","20,83,489","7,23,05,49,749.25","1,20,736"
"13-Aug-2021","EQ","3,360.75","3,480.00","3,357.50","3,351.75","3,456.05","3,463.40","3,438.94","3,480.00","2,216.45","43,63,584","15,00,60,82,710.35","2,17,264"
"12-Aug-2021","EQ","3,326.00","3,368.00","3,326.00","3,344.20","3,347.00","3,351.75","3,353.87","3,399.65","2,216.45","13,10,205","4,39,42,55,743.65","84,190"
"11-Aug-2021","EQ","3,350.00","3,360.00","3,327.10","3,333.90","3,348.00","3,344.20","3,344.63","3,399.65","2,216.45","19,29,707","6,45,41,61,673.50","1,04,272"
"10-Aug-2021","EQ","3,315.60","3,349.90","3,315.60","3,322.70","3,330.50","3,333.90","3,334.47","3,399.65","2,216.45","20,40,777","6,80,49,14,788.20","1,00,513"
"09-Aug-2021","EQ","3,323.90","3,337.00","3,310.00","3,309.80","3,321.00","3,322.70","3,323.80","3,399.65","2,216.45","15,10,489","5,02,05,66,711.25","96,243"
"06-Aug-2021","EQ","3,272.55","3,324.00","3,265.00","3,283.95","3,311.00","3,309.80","3,299.35","3,399.65","2,216.45","22,92,362","7,56,33,09,162.25","1,02,596"
"05-Aug-2021","EQ","3,275.00","3,315.00","3,262.50","3,273.95","3,282.15","3,283.95","3,291.59","3,399.65","2,216.45","25,34,521","8,34,25,97,223.05","1,01,103"
"04-Aug-2021","EQ","3,300.00","3,305.20","3,261.20","3,284.90","3,275.00","3,273.95","3,280.85","3,399.65","2,216.45","29,29,598","9,61,15,65,427.20","97,356"
"03-Aug-2021","EQ","3,229.00","3,290.00","3,218.95","3,219.40","3,278.50","3,284.90","3,265.75","3,399.65","2,216.45","38,04,735","12,42,53,11,115.35","1,69,947"
"02-Aug-2021","EQ","3,180.00","3,224.90","3,167.00","3,167.45","3,220.00","3,219.40","3,199.51","3,399.65","2,216.45","26,08,669","8,34,64,53,822.50","1,12,175"
"30-Jul-2021","EQ","3,219.00","3,223.50","3,162.35","3,195.80","3,167.70","3,167.45","3,191.59","3,399.65","2,163.50","29,99,943","9,57,45,88,335.95","1,40,915"
"29-Jul-2021","EQ","3,200.25","3,225.45","3,190.30","3,197.80","3,194.00","3,195.80","3,207.56","3,399.65","2,163.50","17,31,997","5,55,54,84,672.65","1,23,060"
"28-Jul-2021","EQ","3,188.00","3,204.45","3,132.40","3,182.95","3,199.90","3,197.80","3,169.59","3,399.65","2,163.50","16,60,654","5,26,35,94,035.55","1,13,534"
"27-Jul-2021","EQ","3,200.00","3,210.00","3,161.15","3,197.55","3,187.95","3,182.95","3,185.06","3,399.65","2,163.50","11,21,367","3,57,16,16,645.05","79,117"
"26-Jul-2021","EQ","3,200.00","3,224.25","3,190.85","3,212.85","3,200.35","3,197.55","3,205.52","3,399.65","2,163.50","12,59,611","4,03,77,09,192.05","87,600"
"23-Jul-2021","EQ","3,230.00","3,241.55","3,206.65","3,216.35","3,210.00","3,212.85","3,225.77","3,399.65","2,125.10","17,76,193","5,72,95,96,471.60","1,00,269"
"22-Jul-2021","EQ","3,190.00","3,224.95","3,190.00","3,205.80","3,214.70","3,216.35","3,212.15","3,399.65","2,125.10","28,59,334","9,18,46,01,700.55","1,21,867"
"20-Jul-2021","EQ","3,184.60","3,215.00","3,156.15","3,184.60","3,203.85","3,205.80","3,187.48","3,399.65","2,125.10","18,11,945","5,77,55,40,904.05","1,32,943"
"19-Jul-2021","EQ","3,180.00","3,199.80","3,176.00","3,194.80","3,184.90","3,184.60","3,185.26","3,399.65","2,125.10","15,97,058","5,08,70,41,968.65","78,047"
"16-Jul-2021","EQ","3,213.00","3,219.85","3,192.00","3,202.95","3,194.50","3,194.80","3,202.38","3,399.65","2,125.10","12,56,526","4,02,38,79,474.80","90,365"
"15-Jul-2021","EQ","3,227.60","3,231.85","3,194.00","3,214.55","3,201.90","3,202.95","3,207.01","3,399.65","2,125.10","22,32,968","7,16,11,60,396.00","1,34,474"
"14-Jul-2021","EQ","3,187.00","3,222.00","3,185.00","3,187.55","3,214.40","3,214.55","3,207.79","3,399.65","2,125.10","20,44,279","6,55,76,20,557.05","1,21,236"
"13-Jul-2021","EQ","3,214.00","3,214.00","3,175.00","3,193.10","3,190.40","3,187.55","3,192.60","3,399.65","2,125.10","18,09,339","5,77,64,98,373.75","1,19,046"
"12-Jul-2021","EQ","3,235.00","3,236.00","3,188.35","3,208.15","3,198.40","3,193.10","3,212.90","3,399.65","2,125.10","18,92,226","6,07,95,23,668.95","1,36,133"
"09-Jul-2021","EQ","3,250.00","3,282.00","3,201.00","3,258.50","3,211.80","3,208.15","3,232.37","3,399.65","2,125.10","63,65,067","20,57,42,74,921.25","3,21,370"
"08-Jul-2021","EQ","3,298.00","3,298.00","3,231.90","3,274.95","3,253.00","3,258.50","3,264.38","3,399.65","2,125.10","24,85,811","8,11,46,42,972.35","1,59,147"
"07-Jul-2021","EQ","3,275.00","3,282.70","3,241.60","3,262.30","3,275.85","3,274.95","3,264.79","3,399.65","2,125.10","26,40,710","8,62,13,56,119.05","1,19,862"
"06-Jul-2021","EQ","3,313.00","3,328.00","3,256.10","3,321.00","3,273.65","3,262.30","3,285.26","3,399.65","2,125.10","21,59,420","7,09,42,62,857.45","1,42,732"
"05-Jul-2021","EQ","3,342.00","3,374.00","3,302.00","3,325.45","3,328.00","3,321.00","3,342.14","3,399.65","2,125.10","19,72,858","6,59,35,60,506.90","1,13,655"
"02-Jul-2021","EQ","3,331.00","3,339.70","3,295.20","3,341.50","3,329.00","3,325.45","3,311.83","3,399.65","2,075.05","16,82,274","5,57,14,06,774.65","1,24,870"
"01-Jul-2021","EQ","3,358.00","3,362.00","3,332.35","3,345.75","3,338.00","3,341.50","3,343.83","3,399.65","2,075.05","9,90,310","3,31,14,27,478.80","63,177"
"30-Jun-2021","EQ","3,346.00","3,382.00","3,338.50","3,340.85","3,351.00","3,345.75","3,356.80","3,399.65","2,075.05","16,93,146","5,68,35,48,098.95","1,01,344"
"29-Jun-2021","EQ","3,342.00","3,366.30","3,326.50","3,336.75","3,335.25","3,340.85","3,344.11","3,399.65","2,075.05","14,97,322","5,00,72,16,160.85","97,261"
"28-Jun-2021","EQ","3,391.50","3,391.50","3,333.00","3,380.80","3,342.00","3,336.75","3,345.72","3,399.65","2,075.05","13,55,238","4,53,42,49,770.00","80,472"
"25-Jun-2021","EQ","3,375.25","3,399.65","3,350.00","3,373.60","3,371.00","3,380.80","3,377.11","3,399.65","2,009.25","27,22,861","9,19,54,12,962.85","1,12,139"
"24-Jun-2021","EQ","3,284.00","3,383.00","3,278.50","3,261.40","3,370.00","3,373.60","3,344.69","3,383.00","2,009.25","41,55,204","13,89,78,53,675.10","1,91,883"
"23-Jun-2021","EQ","3,329.00","3,329.00","3,256.40","3,301.20","3,267.30","3,261.40","3,277.84","3,358.00","2,009.25","14,67,104","4,80,89,28,707.90","97,430"
"22-Jun-2021","EQ","3,304.00","3,327.05","3,285.00","3,273.10","3,304.00","3,301.20","3,309.41","3,358.00","2,009.25","17,08,688","5,65,47,51,060.65","91,864"
"21-Jun-2021","EQ","3,265.00","3,286.00","3,251.70","3,297.30","3,273.00","3,273.10","3,270.48","3,358.00","2,009.25","11,30,569","3,69,75,04,601.30","77,545"
"18-Jun-2021","EQ","3,350.90","3,358.00","3,275.00","3,317.75","3,303.00","3,297.30","3,312.52","3,358.00","2,000.95","33,80,431","11,19,77,61,791.30","1,41,335"
"17-Jun-2021","EQ","3,265.50","3,336.05","3,260.00","3,274.35","3,328.00","3,317.75","3,295.52","3,354.35","2,000.95","22,73,413","7,49,20,87,861.65","1,31,862"
"16-Jun-2021","EQ","3,262.10","3,294.70","3,253.00","3,262.75","3,270.00","3,274.35","3,273.56","3,354.35","2,000.95","16,35,552","5,35,40,77,782.45","92,225"
"15-Jun-2021","EQ","3,298.00","3,298.00","3,251.55","3,276.35","3,262.00","3,262.75","3,275.11","3,354.35","2,000.95","13,04,985","4,27,39,70,422.60","96,054"
